epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.258,1.08489,2.65118,1.35419,0.04722,1,0.9125,0.55981,0.87405,2.92185,1.51984,0.0002641,0.0002641,0.0002641
43,52.2064,0.63492,2.0468,1.12352,0.04613,1,0.62525,0.33345,0.91729,2.8783,1.59611,0.000269262,0.000269262,0.000269262
44,53.0482,0.86888,1.87344,1.27348,0.04613,1,0.62525,0.33345,0.91729,2.8783,1.59611,0.000274364,0.000274364,0.000274364
45,53.92,0.65952,1.84765,1.16411,0.47341,0.90928,0.66375,0.30691,0.84791,2.98172,1.55687,0.000279404,0.000279404,0.000279404
46,54.7929,0.62024,1.82388,1.11821,0.47341,0.90928,0.66375,0.30691,0.84791,2.98172,1.55687,0.000284384,0.000284384,0.000284384
47,55.6552,0.87513,1.87297,1.14694,0.80931,0.16667,0.476,0.21486,1.13453,2.85497,1.91292,0.000289303,0.000289303,0.000289303
48,56.4448,0.66036,1.69098,1.14688,0.80931,0.16667,0.476,0.21486,1.13453,2.85497,1.91292,0.000294161,0.000294161,0.000294161
49,57.3688,0.69947,1.75232,1.15229,0.84416,0.16667,0.41477,0.18797,1.2371,2.8344,2.00215,0.000298958,0.000298958,0.000298958
50,58.1506,0.87856,2.22532,1.43666,0.84416,0.16667,0.41477,0.18797,1.2371,2.8344,2.00215,0.000303694,0.000303694,0.000303694
51,59.0745,0.75625,1.75531,1.15214,1,0.2869,0.49452,0.17864,1.39261,2.72364,2.11409,0.000308369,0.000308369,0.000308369
52,60.1862,0.77049,1.62089,1.15176,1,0.2869,0.49452,0.17864,1.39261,2.72364,2.11409,0.000312983,0.000312983,0.000312983
53,61.3833,0.6733,2.3035,1.16453,1,0.2869,0.49452,0.17864,1.39261,2.72364,2.11409,0.000317537,0.000317537,0.000317537
54,62.629,0.67051,1.81788,1.20621,1,0.32792,0.55575,0.20516,1.40705,2.48552,2.20326,0.000322029,0.000322029,0.000322029
55,63.9097,0.98099,1.65253,1.22572,1,0.32792,0.55575,0.20516,1.40705,2.48552,2.20326,0.000326461,0.000326461,0.000326461
56,65.1777,0.82785,1.82968,1.21508,1,0.32792,0.55575,0.20516,1.40705,2.48552,2.20326,0.000330831,0.000330831,0.000330831
57,66.3651,0.79936,1.71146,1.15275,1,0.40141,0.597,0.26872,1.24535,2.22378,2.14663,0.000335141,0.000335141,0.000335141
58,67.2704,0.97148,1.89758,1.18127,1,0.40141,0.597,0.26872,1.24535,2.22378,2.14663,0.00033939,0.00033939,0.00033939
59,68.1062,0.82558,1.77585,1.26576,1,0.40141,0.597,0.26872,1.24535,2.22378,2.14663,0.000343578,0.000343578,0.000343578
60,69.0269,0.88635,2.08996,1.33421,1,0.32976,0.58063,0.37912,1.10404,1.89302,2.09141,0.000347705,0.000347705,0.000347705
61,69.8733,0.72129,1.49928,1.12352,1,0.32976,0.58063,0.37912,1.10404,1.89302,2.09141,0.000351771,0.000351771,0.000351771
62,70.7812,0.61335,1.69666,1.0707,1,0.32976,0.58063,0.37912,1.10404,1.89302,2.09141,0.000355777,0.000355777,0.000355777
63,71.653,0.68168,1.7682,1.12702,1,0.32354,0.53938,0.3718,1.25387,1.74309,2.25651,0.000359721,0.000359721,0.000359721
64,72.517,0.49836,1.30513,0.9565,1,0.32354,0.53938,0.3718,1.25387,1.74309,2.25651,0.000363604,0.000363604,0.000363604
65,73.4112,0.80142,1.70158,1.27342,1,0.32354,0.53938,0.3718,1.25387,1.74309,2.25651,0.000367427,0.000367427,0.000367427
66,74.3483,0.66246,1.54823,1.04229,1,0.32482,0.55588,0.36582,1.2068,1.89943,2.16198,0.000371189,0.000371189,0.000371189
67,75.219,0.75451,1.59667,1.11017,1,0.32482,0.55588,0.36582,1.2068,1.89943,2.16198,0.000374889,0.000374889,0.000374889
68,76.1641,0.70315,1.60915,1.20651,1,0.32482,0.55588,0.36582,1.2068,1.89943,2.16198,0.000378529,0.000378529,0.000378529
69,77.5121,0.5543,1.5241,0.99403,0.84804,0.5,0.58083,0.32409,1.24977,1.97161,2.20189,0.000382108,0.000382108,0.000382108
